"","time","season","location","alpha_copaene","alpha_humulene","alpha_phellandrene","alpha_pinene","alpha_terpinene","alpha_terpineol","beta_caryophyllene","beta_farnesene","beta_myrcene","beta_phellandrene","beta_pinene","borneol","bornyl_acetate","camphene","camphor","cis_three_hexen_one_ol","citronellol","eucalyptol","eugenol","fenchone","gamma_terpinene","limonene","linalool","linalool_oxide","longifolene","menthol","methyl_jasmonate","methyl_salicylate","ocimene","one_four_cineole","p_cymene","sabinene","terpinen_four_ol","terpinolene","trimethyl_trideca"
"1","8am","fall","como",0.00118743402880428,0.0238295399010538,0.816168999964279,0.28358284057935,0.05325012149692,0.00290388693922714,0.0106842683476902,0.260556550888952,0.152054703253473,8.75962295151165,0.124309214705575,0.0141939846249257,0.0709248623460257,0.0493337641599459,0.0806693226102462,0.0147379896051765,0.152966201367357,0.0807699392770939,0.00154297085705481,0.168502110817908,0.543777208478438,1.73265363706786,0.240731863300333,0.0129524287324384,0.0182485768971267,0.0929863078090713,0.0157412693315197,0.0951123509115494,2.06513026453546,0.0153175663474661,0.253792100381749,0.678853990090763,0.169314473392345,0.0372439010377283,0.00374268419645065
"2","8am","fall","forest",0.00111463602469314,0.0252450549031245,0.169819327751236,0.0826762957351088,0.024548254961936,0.0065307780504327,0.0242634063314564,0.365607665131452,0.0530381282542062,2.20156347505592,0.0692406648121495,0.0130442021366657,0.0586415661103624,0.0410937613738718,0.06016025661166,0.0073370103834026,0.0300055335074271,0.0607361802805288,0.00604721395779821,0.0682786815655852,0.023827988781347,0.444835646130359,0.283676911572975,0.00854116903697558,0.0181689391451367,0.0673614077108,0.0478485228021931,0.0399351302730521,0.0308026272059022,0.0247829213100003,0.17789915086837,0.21374460347216,0.071173513970515,0.0360580234967099,0.00653742626282204
"3","8am","spring","como",0.000958018510456287,0.05174667540393,0.00477623507853586,0.0381076940616972,0.00580104537511879,0.00457683892077651,0.0104833737767823,0.723814993453065,0.00483156701044173,0.281644025990198,0.0113433081455813,0.020632710854608,0.0301571008085958,0.00778434255249865,0.0317863944245946,0.00781495505315906,0.027016121994703,0.0195971522911162,0.0808605367773612,0.0734989343871758,0.00343494306911541,0.0738061755950699,0.581807348605985,0.0123647981945397,0.00888938116728811,0.0325866726282662,0.113568747381312,0.0375778875258293,0.00587675538763642,0.00981414480939508,0.0190849032396328,0.0294622003467471,0.664748985984221,0.0154601585448498,0.00421077147846364
"4","8am","spring","forest",0.00109547252417314,0.0755284190878953,0.0054798398539162,0.149024172876643,0.0113496223653747,0.0260546280771191,0.010256250122092,1.35449009153941,0.0332715927267541,0.16332178483493,0.0645940203164148,0.276701899800689,0.125854008652552,0.0139184774882233,0.0972646512851301,0.00505274346352554,0.160434079596361,0.0205278468147913,0.579669633071001,0.118553783026174,0.0581419873885003,0.132726040776541,0.755096425335624,0.0941701156141139,0.010771720049994,1.14117428480342,0.856709668755099,0.111704478319286,0.0195621712072942,0.024316708824672,0.0496255682874783,0.180871402636709,0.34995811314557,0.0166461273601248,0.0238543634277018
"5","8am","summer","como",0.00101429028269943,0.0304353204373829,0.0107944360626219,0.0362195768244394,0.00356603982162419,0.00731228645640476,0.0178852540367442,0.593205160700976,0.00740174497343596,0.666700814772977,0.00905846957285517,0.013728999935434,0.0206599816335955,0.00818155036036628,0.0439379111903299,0.00348848541077447,0.0585616688664073,0.0493634679616428,0.0957125066065508,0.119085547342275,0.0249525860693442,0.131482768014321,0.491710874612377,0.0180648612891798,0.00631891550581042,0.0608948744225,0.0672888819815553,0.0519179484754066,0.0242005007208122,0.0231347540350553,0.158777137848943,0.0360327057238352,0.807228368585597,0.00838918418298473,0.00444898079282778
"6","8am","summer","forest",0.00135917858437502,0.0394482376197001,0.00161132887403332,0.0269397803198305,0.006802866169891,0.00415379606590191,0.00379613806094507,0.225083442959244,0.00166140572742547,0.230688214328283,0.00654368951659351,0.0148680692863372,0.0376981346523062,0.00422017738361483,0.0138760622070206,0.00208358628298949,0.0467872812161746,0.00390710093858106,0.0476673006578784,0.127469643893946,0.00376009390280204,0.0914111087216355,0.414692713022673,0.0179042288294981,0.00436949698990689,0.0426833433708322,0.0924730168857738,0.0460515259988452,0.0142690508283621,0.022536705493581,0.0179166234180341,0.0423727665422832,0.580964041513051,0.00539568587874761,0.00424818447387484
"7","12pm","fall","como",0.00385480245039211,0.0411689104155183,0.623210942690873,0.56529284016176,0.0742896088004932,0.00787744106089174,0.0145373964826701,0.216783692221196,0.232508961237162,12.239116071451,0.152696566370148,0.0249513429238524,0.0934899751424251,0.0554117254422686,0.119957151358268,0.0158462683306823,0.0259323963861838,0.11178901141824,0.00142733402236233,0.197705201110271,0.71860343274845,2.51187319615188,0.359107575720418,0.00968982068035398,0.0295587288060393,0.0698114976988735,0.0395148251667552,0.0672055202219399,3.18071251566297,0.012307159138621,0.296797879383809,0.708304446715324,0.511137854441803,0.0555106777738844,0.0113632193624179
"8","12pm","fall","forest",0.00156687558309213,0.0175624990401533,0.139918109540845,0.131855294682145,0.0275612254429905,0.0066842200311594,0.00701880981216455,0.526048942529503,0.040292131003547,1.50398061569046,0.0527924777322803,0.0176103339829454,0.0473029355504487,0.0282829978433755,0.0709356864402324,0.00263141173394367,0.156884131497891,0.0376005767122132,0.000875990676737651,0.045151000597283,0.0980251231372755,0.312814429461323,0.234102961467084,0.01618626575522,0.0143507387157176,0.0675322336973341,0.0728901213880289,0.0427549463240758,0.0217311549752222,0.00522777907831055,0.0464522830210996,0.202368130818582,0.0921315799438277,0.0687193754409908,0.0132738282738513
"9","12pm","spring","como",0.00591447654438325,0.0188241410695048,0.0009866198174656,0.0163231071987195,0.013723517676295,0.0115083983075863,0.0110680852045325,1.06974622533096,0.00348147480064315,0.0455991101608706,0.00989330591968036,0.00945946399219254,0.0481057919983091,0.00927757631047566,0.031517195672349,0.00131396211019746,0.758318135937691,0.00975854959198657,0.0887705832176917,0.0196000248806017,0.00593036232594592,0.0346819611042582,0.155530604687223,0.0341413602089991,0.011652599733816,0.0504854454833203,0.099830785988971,0.0351278972963959,0.011439669229422,0.00637204090531048,0.01190964358643,0.0450846476479835,0.129568707303469,0.163968758764547,0.00827798440005079
"10","12pm","spring","forest",0.00112376632095181,0.0381224877570747,0.00769186475472163,0.0827128400608956,0.0574575902831983,0.00391018214090904,0.00470230452601969,0.348476940344189,0.00399276518528455,0.533077844479295,0.0445631078400957,0.0138296820803047,0.0362163591695548,0.0146036724093425,0.0204589503110151,0.00691707423537136,0.0395691076429675,0.0215093473308308,0.172969172227065,0.0531392049128313,0.0286354509034471,0.172946901021321,0.917702715982295,0.0122894826033075,0.0147190429333366,0.0453799052292971,0.333774480629322,0.0981172024991618,0.0366590623230008,0.0403889745944762,0.0280443913254791,0.022924454805376,1.25777833885304,0.0188513670150657,0.0483793845560702
